trait,competence-relatedness,warmth-relatedness,warmth-competence relatedness
able,2.11,0.29,-1.82
active,0.77,0.51,-0.26
admirable,1.29,1.26,-0.03
aggressive,0.71,2.09,1.38
ambitious,1.83,0.54,-1.29
annoying,0.89,2.17,1.28
antisocial,0.77,2.6,1.83
anxious,0.89,1.29,0.4
artistic,0.89,0.49,-0.4
average,0.17,0.17,0
blunt,0.57,1.51,0.94
boring,0.63,1.2,0.57
bossy,0.83,2.11,1.28
bright,1.86,0.94,-0.92
calm,0.86,0.94,0.08
candid,0.66,0.69,0.03
capable,2.4,0.49,-1.91
careful,1.11,0.63,-0.48
cautious,0.77,0.57,-0.2
charming,0.51,1.97,1.46
clever,1.74,0.54,-1.2
cold,0.66,2.69,2.03
competent,2.77,0.57,-2.2
conceited,0.77,2.06,1.29
confident,1.37,0.83,-0.54
conscientious,1.09,1,-0.09
conservative,0.6,0.69,0.09
considerate,0.66,1.94,1.28
cordial,0.43,1.37,0.94
courteous,0.71,2.09,1.38
crafty,1.14,0.63,-0.51
creative,1.54,0.57,-0.97
critical,0.66,1.8,1.14
cruel,1.03,2.63,1.6
cunning,0.97,1.29,0.32
deceitful,1.26,2.34,1.08
decent,0.6,1.11,0.51
deceptive,0.8,2.34,1.54
demanding,0.6,1.97,1.37
dependable,1.94,1.17,-0.77
dependent,1.09,0.31,-0.78
depressed,1.14,2.06,0.92
diligent,1.91,0.57,-1.34
direct,1.03,0.69,-0.34
disciplined,1.77,0.6,-1.17
dull,0.69,1.26,0.57
eager,1.26,0.54,-0.72
earnest,0.86,1.03,0.17
educated,2.09,0.57,-1.52
efficient,2,0.4,-1.6
egotistical,0.66,2.29,1.63
emotional,0.43,0.69,0.26
envious,0.66,1.94,1.28
ethical,1.4,1.4,0
experienced,2.29,0.37,-1.92
forceful,0.86,2.11,1.25
frank,0.37,0.83,0.46
friendly,0.49,2.46,1.97
generous,0.54,2.4,1.86
good-natured,0.6,2.17,1.57
good,1.49,2,0.51
greedy,0.69,2.4,1.71
happy,0.66,2.31,1.65
helpful,1.37,2.11,0.74
hesitant,1,0.83,-0.17
honest,1.29,1.37,0.08
honorable,1.2,1.26,0.06
humble,0.66,1.46,0.8
humorous,0.4,1.4,1
imaginative,1.34,0.77,-0.57
immature,1.51,1.06,-0.45
impulsive,0.77,0.63,-0.14
independent,1,0.4,-0.6
indifferent,0.74,1.46,0.72
insecure,1.06,1.31,0.25
insincere,0.86,2.49,1.63
intellectual,2.31,0.6,-1.71
intelligent,2.31,0.49,-1.82
interesting,0.77,0.83,0.06
inventive,1.94,0.43,-1.51
jealous,0.8,2.11,1.31
kind,0.69,2.49,1.8
lazy,2.46,1,-1.46
liar,1.54,2.46,0.92
likable,0.51,2.37,1.86
logical,1.89,0.4,-1.49
lonely,0.6,1.31,0.71
loyal,0.97,1.74,0.77
materialistic,0.6,1.37,0.77
mature,1.09,0.74,-0.35
mean,0.83,2.63,1.8
methodical,1.37,0.46,-0.91
meticulous,1.63,0.37,-1.26
moderate,0.37,0.29,-0.08
modest,0.63,1.2,0.57
moral,1.03,1.29,0.26
naive,0.86,0.46,-0.4
narrow-minded,0.89,1.83,0.94
neat,1.2,0.46,-0.74
nice,0.6,2.49,1.89
normal,0.23,0.23,0
obedient,1.14,0.69,-0.45
opinionated,0.49,0.8,0.31
original,0.91,0.29,-0.62
outgoing,0.74,1.71,0.97
outstanding,2.14,0.91,-1.23
perceptive,1.23,0.6,-0.63
perfectionistic,2.14,0.51,-1.63
persistent,1.4,0.69,-0.71
pleasant,0.49,2.23,1.74
polite,0.69,1.89,1.2
popular,0.54,1.23,0.69
positive,0.97,1.83,0.86
practical,1.23,0.4,-0.83
precise,1.8,0.31,-1.49
preoccupied,1.23,1.37,0.14
productive,2.23,0.4,-1.83
proficient,2,0.54,-1.46
proud,0.69,0.83,0.14
prudent,1.09,0.43,-0.66
quick,0.97,0.34,-0.63
quiet,0.6,1.11,0.51
rational,1.43,0.6,-0.83
realistic,1.03,0.43,-0.6
reasonable,1.26,0.86,-0.4
reliable,1.97,1.14,-0.83
reserved,0.54,0.97,0.43
resourceful,2.09,0.43,-1.66
respectable,1.17,1.03,-0.14
respectful,0.83,1.66,0.83
responsible,1.91,0.37,-1.54
righteous,0.46,0.77,0.31
romantic,0.37,2.09,1.72
rude,1,2.69,1.69
sarcastic,0.51,1.71,1.2
scientific,2,0.54,-1.46
selfish,0.8,2.37,1.57
sensible,1.09,0.8,-0.29
sentimental,0.34,1.69,1.35
serious,1.26,0.91,-0.35
shallow,0.71,2.14,1.43
shrewd,0.86,1.31,0.45
shy,0.63,1.14,0.51
silent,0.51,1.31,0.8
sincere,0.66,2,1.34
skilled,2.46,0.46,-2
skillful,2.26,0.49,-1.77
smart,2.26,0.37,-1.89
snobbish,0.54,2.46,1.92
sociable,0.63,1.94,1.31
social,0.66,1.89,1.23
stern,0.63,1.6,0.97
stubborn,0.83,1.46,0.63
studious,1.8,0.57,-1.23
suave,0.49,0.89,0.4
submissive,0.83,0.94,0.11
superficial,0.77,1.86,1.09
sympathetic,0.57,2.37,1.8
talented,2.17,0.49,-1.68
thorough,1.97,0.34,-1.63
thoughtful,0.94,1.89,0.95
timid,0.54,1.34,0.8
trusting,0.63,1.69,1.06
trustworthy,1.37,1.69,0.32
truthful,1.14,1.34,0.2
unemotional,0.4,1.97,1.57
unfriendly,0.49,2.6,2.11
unhappy,0.89,2.26,1.37
unintelligent,2.17,0.6,-1.57
unkind,0.77,2.77,2
unpleasant,0.77,2.66,1.89
untrustworthy,1.71,2.4,0.69
vain,0.51,1.89,1.38
warm-hearted,0.51,2.69,2.18
warm,0.43,2.8,2.37
weak,1.37,0.74,-0.63
well-read,1.69,0.49,-1.2
well-spoken,1.77,0.71,-1.06
wise,2.2,0.54,-1.66
withdrawn,0.97,2.14,1.17
